"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"11077","CITIZENS FOR A BETTER COMMONWEALTH","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",80.2503221056507,19.7496778943493,"#000099AF","#000099AF",54330
"11100","CITIZENS WITH COMMON CENTS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",16.3934426229508,83.6065573770492,"#AD0000AF","#AD0000AF",3050
"11149","CMTE FOR A DEMOCRATIC MAJORITY / UTAH DEMOCRATIC LEADERSHIP COUNCIL","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",17500
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",32.7102803738318,67.2897196261682,"#5C0000AF","#5C0000AF",16050
"11273","COMMONWEALTH HERITAGE","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",100,0,"#0000FFAF","#0000FFAF",37400
"1149","GREENLEE PARTNERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",22.9268323653507,77.0731676346493,"#8F0000AF","#8F0000AF",14175.53
"11590","DEEM GUYS","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",57.1725571725572,42.8274428274428,"#000024AF","#000024AF",4810
"11631","DEMOCRACY FUND","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",96.6555183946488,3.34448160535117,"#0000EBAF","#0000EBAF",59800
"11699","DICKEY MCCAMEY & CHILCOTE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",75.7575757575758,24.2424242424242,"#00007FAF","#00007FAF",1650
"11799","DUBLIN ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",46.9029184038118,53.0970815961882,"#140000AF","#140000AF",6716
"11816","DUQUESNE LIGHT CO","Electric Utilities","Energy & Natural Resources","Electric power utilities",68.5393258426966,31.4606741573034,"#00005CAF","#00005CAF",8900
"11989","ERIE INDEMNITY CO","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",5000
"12053","ILLINOIS FAMILY INSTITUTE","Christian Conservative","Ideology/Single Issue","Christian Coalition, religious right",62.5,37.5,"#00003DAF","#00003DAF",800
"1231","HERSHEY CO","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",0,100,"#FF0000AF","#FF0000AF",8550
"12559603","BRICKLAYERS & ALLIED CRAFTWORKERS LOCAL 9","General Trade Unions","Labor","Construction unions",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",750
"12585","GREATER PHILADELPHIA CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",50,50,"#000000AF","#000000AF",2000
"12587","CHAMBER OF COMMERCE GREATER PITTSBURGH","Business Associations","General Business","Chambers of commerce",51.5151515151515,48.4848484848485,"#000005AF","#000005AF",1650
"1269570","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES / IUPAT","General Trade Unions","Labor","Construction unions",85.4545454545455,14.5454545454545,"#0000B3AF","#0000B3AF",5500
"12772","HEALTH PARTNERS OF PHILADELPHIA","Health Services","Health","HMOs",58.3333333333333,41.6666666666667,"#000029AF","#000029AF",1200
"12834","HIGHMARK HEALTH","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",25.6511001347104,74.3488998652896,"#800000AF","#800000AF",44540
"13115","INDEPENDENCE BLUE CROSS","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",45.4545454545455,54.5454545454545,"#1A0000AF","#1A0000AF",550
"13121","INDEPENDENT STATE STORE UNION","General Trade Unions","Labor","Retail trade unions",83.4307992202729,16.5692007797271,"#0000A8AF","#0000A8AF",7695
"1338","INTERNATIONAL PAPER","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",0,100,"#FF0000AF","#FF0000AF",725
"13526","L & M ASSOCIATES","Real Estate","Finance, Insurance & Real Estate","Real estate agents & managers",89.4039735099338,10.5960264900662,"#0000C7AF","#0000C7AF",3775
"13529","L R KIMBALL","Construction Services","Construction","Engineering, architecture & construction management services",84.8605577689243,15.1394422310757,"#0000ADAF","#0000ADAF",12550
"13891","MALT BEVERAGE DISTRIBUTORS ASSOCIATION OF PENNSYLVANIA","Beer, Wine & Liquor","General Business","Liquor wholesalers",63.0434782608696,36.9565217391304,"#000042AF","#000042AF",6900
"14","ABBOTT LABORATORIES","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",700
"14414","NATIONAL FUEL GAS","Oil & Gas","Energy & Natural Resources","Oil & gas",6.17577197149644,93.8242280285036,"#E00000AF","#E00000AF",10525
"145","AMERICAN INSURANCE ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",17.8117048346056,82.1882951653944,"#A80000AF","#A80000AF",9825
"14846","OUTDOOR ADVERTISING ASSOCIATION OF PENNSYLVANIA","Business Services","General Business","Outdoor advertising services",52.6315789473684,47.3684210526316,"#00000AAF","#00000AAF",3800
"14992","PENN NATIONAL INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",2800
"14998","PENNSYLVANIA ASSOCIATION OF DEER FARMERS","Hunting","Energy & Natural Resources","Hunting & wildlife",22.2222222222222,77.7777777777778,"#8F0000AF","#8F0000AF",4500
"14999","PENNSYLVANIA BEER WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",81.0126582278481,18.9873417721519,"#00009EAF","#00009EAF",15800
"15001","PENNSYLVANIA CABLE & TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",50,50,"#000000AF","#000000AF",5600
"15002","PENNSYLVANIA CEMETERY FUNERAL ASSOCIATION","Miscellaneous Services","General Business","Funeral services",0,100,"#FF0000AF","#FF0000AF",2575
"15003","PENNSYLVANIA COMMUNITY PROVIDERS","Health Services","Health","Mental health services",52.7272727272727,47.2727272727273,"#00000AAF","#00000AAF",2750
"15006","PENNSYLVANIA DISTRIBUTORS ASSOCIATION","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",100,0,"#0000FFAF","#0000FFAF",1300
"15008","PENNSYLVANIA FOREST PRODUCTS ASSOCIATION","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",1.54440154440154,98.4555984555985,"#FA0000AF","#FA0000AF",6475
"15012","PENNSYLVANIA LICENSED BEVERAGE ASSOCIATION","Beer, Wine & Liquor","General Business","Alcohol",15.7894736842105,84.2105263157895,"#B30000AF","#B30000AF",1900
"15013","PENNSYLVANIA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",31.8719554627697,68.1280445372303,"#610000AF","#610000AF",35925
"15015","PENNSYLVANIA PSYCHOLOGICAL ASSOCIATION","Health Professionals","Health","Psychiatrists & psychologists",46.7771639042357,53.2228360957643,"#140000AF","#140000AF",13575
"15016","PENNSYLVANIA RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",13.2075471698113,86.7924528301887,"#BD0000AF","#BD0000AF",2650
"15017","PENNSYLVANIA STATE BREWERS ASSOCIATION","Beer, Wine & Liquor","General Business","Beer",0,100,"#FF0000AF","#FF0000AF",4000
"15018","PENNSYLVANIA STATE CORRECTIONS OFFICES ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",25.2100840336134,74.7899159663866,"#800000AF","#800000AF",5950
"15019","PENNSYLVANIA STATE TROOPERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",35.5167394468704,64.4832605531296,"#4D0000AF","#4D0000AF",34350
"15126","PITTSBURGH FUTURE PAC","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",8,92,"#D60000AF","#DB0000AF",1250
"15290","PUGLIESE ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",16.4336239513078,83.5663760486922,"#AD0000AF","#AD0000AF",15197.5
"1537","LEWIS ECKERT ROBB & CO","Business Services","General Business","Management consultants & services",0,100,"#FF0000AF","#FF0000AF",19928.29
"1540","LIBERTY MUTUAL INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",3000
"15597920","AGENT","Uncoded","Uncoded","Uncoded",2.87081339712919,97.1291866028708,"#F50000AF","#F50000AF",10450
"15819048","PITTSBURGH PLUMBERS LOCAL 27","General Trade Unions","Labor","Construction unions",80.9523809523809,19.047619047619,"#000099AF","#000099AF",1050
"15820222","GREENLEE PARTNERS","Uncoded","Uncoded","Uncoded",26.0869565217391,73.9130434782609,"#7A0000AF","#7A0000AF",1150
"15919","SHEETZ","Oil & Gas","Energy & Natural Resources","Gasoline service stations",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",750
"15972164","PITTSBURGH FEDERATION OF TEACHERS LOCAL 400","Public Sector Unions","Labor","Teachers unions",9.09090909090909,90.9090909090909,"#D10000AF","#D10000AF",1100
"16192","STEVENS & LEE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",19.2307692307692,80.7692307692308,"#9E0000AF","#9E0000AF",5200
"16619332","PA RJR NABISCO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",0,100,"#FF0000AF","#FF0000AF",1800
"16619359","RJR NABISCO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",63.8297872340426,36.1702127659575,"#000042AF","#000042AF",3525
"16679","TUCKER ARENSBERG PC","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",64.7058823529412,35.2941176470588,"#000047AF","#000047AF",850
"16711","UGI UTILITIES","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",3500
"16798","VALUE DRUG","Retail Sales","General Business","Drug stores",8.13008130081301,91.869918699187,"#D60000AF","#D60000AF",4920
